City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bardai,11.65,7.2333,34.5,13,96,3.81,NG,1699622119
1,jamestown,42.097,-79.2353,8.08,68,0,3.13,US,1699622021
2,dudinka,69.4058,86.1778,-7.4,93,100,12.07,RU,1699622120
3,stanley,54.868,-1.6985,8.07,74,20,4.63,GB,1699621942
4,bethel,41.3712,-73.414,9.72,67,40,3.09,US,1699621975
5,labytnangi,66.6572,66.4183,-8.93,94,33,3.26,RU,1699622123
6,coquimbo,-29.9533,-71.3436,14.87,94,100,1.56,CL,1699622048
7,laguna,38.421,-121.4238,11.16,86,0,0.0,US,1699622125
8,hawaiian paradise park,19.5933,-154.9731,22.24,91,75,4.12,US,1699622125
9,puerto natales,-51.7236,-72.4875,14.25,47,75,4.12,CL,1699622126
10,kudat,6.8837,116.8477,25.96,100,91,1.54,MY,1699622127
11,san ignacio de velasco,-16.3667,-60.95,32.02,46,100,3.52,BO,1699622128
12,fruita,39.1589,-108.729,1.62,48,0,5.14,US,1699622130
13,adamstown,-25.066,-130.1015,21.9,85,100,5.84,PN,1699622131
14,tralee,52.2704,-9.7026,12.14,76,75,2.57,IE,1699622132
15,erenhot,43.6475,111.9767,-8.54,35,0,0.91,CN,1699622133
16,merizo village,13.2658,144.6691,28.85,80,82,7.62,GU,1699622134
17,ushuaia,-54.8,-68.3,13.79,47,0,1.79,AR,1699621851
18,remire-montjoly,4.9167,-52.2667,29.27,70,6,5.06,GF,1699622136
19,saudarkrokur,65.7461,-19.6394,-2.38,72,22,4.13,IS,1699622137
20,la ronge,55.1001,-105.2842,-1.86,86,100,3.09,CA,1699622138
21,boende,-0.2167,20.8667,30.88,55,52,1.18,CD,1699622139
22,kenai,60.5544,-151.2583,-2.73,97,100,1.54,US,1699622139
23,port-aux-francais,-49.35,70.2167,6.42,98,100,12.73,TF,1699622140
24,smithers,54.7804,-127.1743,1.18,93,100,2.06,CA,1699622141
